CRT,SectorName_x,FuelName,SectorID,FuelID,SectorName_y,GNFR
,,,3712,,Brake wear - Passenger cars - urban,F4
,,,3713,,Brake wear - Passenger cars - rural,F4
,,,3720,,Brake wear - LDV,F4
,,,3721,,Brake wear - LDV - highway,F4
,,,3722,,Brake wear - LDV - urban,F4
,,,3723,,Brake wear - LDV - rural,F4
,,,3730,,Brake wear - Trucks (>3.5t),F4
,,,3731,,Brake wear - Trucks (>3.5t) - highway,F4
,,,3732,,Brake wear - Trucks (>3.5t) - urban,F4
,,,3733,,Brake wear - Trucks (>3.5t) - rural,F4
,,,3740,,Brake wear - Buses,F4
,,,3741,,Brake wear - Buses - highway,F4
,,,3742,,Brake wear - Buses - urban,F4
,,,3743,,Brake wear - Buses - rural,F4
,,,3750,,Brake wear - Motorcycles,F4
,,,3751,,Brake wear - Motorcycles - highway,F4
,,,3752,,Brake wear - Motorcycles - urban,F4
,,,3753,,Brake wear - Motorcycles - rural,F4
,,,3760,,Brake wear - Mopeds,F4
,,,3761,,Brake wear - Mopeds - highway,F4
,,,3762,,Brake wear - Mopeds - urban,F4
,,,3763,,Brake wear - Mopeds - rural,F4
,,,3800,,Tyre wear,F4
,,,3810,,Tyre wear - Passenger cars,F4
,,,3811,,Tyre wear - Passenger cars - highway,F4
,,,3812,,Tyre wear - Passenger cars - urban,F4
,,,3813,,Tyre wear - Passenger cars - rural,F4
,,,3820,,Tyre wear - LDV,F4
,,,3821,,Tyre wear - LDV - highway,F4
,,,3822,,Tyre wear - LDV - urban,F4
,,,3823,,Tyre wear - LDV - rural,F4
,,,3830,,Tyre wear - Trucks (>3.5t),F4
,,,3831,,Tyre wear - Trucks (>3.5t) - highway,F4
,,,3832,,Tyre wear - Trucks (>3.5t) - urban,F4
,,,3833,,Tyre wear - Trucks (>3.5t) - rural,F4
,,,3840,,Tyre wear - Buses,F4
,,,3841,,Tyre wear - Buses - highway,F4
,,,3842,,Tyre wear - Buses - urban,F4
,,,3843,,Tyre wear - Buses - rural,F4
,,,3850,,Tyre wear - Motorcycles,F4
,,,3851,,Tyre wear - Motorcycles - highway,F4
,,,3852,,Tyre wear - Motorcycles - urban,F4
,,,3853,,Tyre wear - Motorcycles - rural,F4
,,,3860,,Tyre wear - Mopeds,F4
,,,3861,,Tyre wear - Mopeds - highway,F4
,,,3862,,Tyre wear - Mopeds - urban,F4
,,,3863,,Tyre wear - Mopeds - rural,F4
,,,3900,,Gasoline evaporation and road wear,F4
,,,3910,,Gasoline evaporation and road wear - Passenger cars,F4
,,,3911,,Gasoline evaporation and road wear - Passenger cars - highway,F4
,,,3912,,Gasoline evaporation and road wear - Passenger cars - urban,F4
,,,3913,,Gasoline evaporation and road wear - Passenger cars - rural,F4
,,,3920,,Gasoline evaporation and road wear - LDV,F4
,,,3921,,Gasoline evaporation and road wear - LDV - highway,F4
,,,3922,,Gasoline evaporation and road wear - LDV - urban,F4
,,,3923,,Gasoline evaporation and road wear - LDV - rural,F4
,,,3930,,Gasoline evaporation and road wear - Trucks (>3.5t),F4
,,,3931,,Gasoline evaporation and road wear - Trucks (>3.5t) - highway,F4
,,,3932,,Gasoline evaporation and road wear - Trucks (>3.5t) - urban,F4
,,,3933,,Gasoline evaporation and road wear - Trucks (>3.5t) - rural,F4
,,,3940,,Gasoline evaporation and road wear - Buses,F4
,,,3941,,Gasoline evaporation and road wear - Buses - highway,F4
,,,3942,,Gasoline evaporation and road wear - Buses - urban,F4
,,,3943,,Gasoline evaporation and road wear - Buses - rural,F4
,,,3950,,Gasoline evaporation and road wear - Motorcycles,F4
,,,3951,,Gasoline evaporation and road wear - Motorcycles - highway,F4
,,,3952,,Gasoline evaporation and road wear - Motorcycles - urban,F4
,,,3953,,Gasoline evaporation and road wear - Motorcycles - rural,F4
,,,3960,,Gasoline evaporation and road wear - Mopeds,F4
,,,3961,,Gasoline evaporation and road wear - Mopeds - highway,F4
,,,3962,,Gasoline evaporation and road wear - Mopeds - urban,F4
,,,3963,,Gasoline evaporation and road wear - Mopeds - rural,F4
1.A.3.a,Domestic aviation,Aviation gasoline,4100,230,Civil aviation - LTO,H
1.A.3.a,Domestic aviation,Biomass,4100,400,Civil aviation - LTO,H
1.A.3.a,Domestic aviation,Jet kerosine,4100,240,Civil aviation - LTO,H
1.A.3.c,Railways,Biodiesel (fossil component),4200,250,Railways,I
1.A.3.c,Railways,Biomass,4200,400,Railways,I
1.A.3.c,Railways,Fossil part of biodiesel,4200,250,Railways,I
1.A.3.c,Railways,Gaseous fuels,4200,300,Railways,I
1.A.3.c,Railways,Liquid fuels,4200,250,Railways,I
1.A.3.c,Railways,Other fossil fuels,4200,500,Railways,I
1.A.3.c,Railways,Solid fuels,4200,100,Railways,I
,,,4300,,Domestic navigation,G
1.A.3.d,Domestic navigation,Biodiesel (fossil component),4310,250,"Domestic navigation, inland shipping",G
